Versão,Regiões,I/O_e_malloc,num_Threads,Tamanho_entrada,num_Execuções,Tempo_médio_de_execução,Intervalo_de_confiança,,,
Sequencial,Elephant,Com,1,16,10,"0,0008","0,000019",,,
Sequencial,Elephant,Com,1,32,10,"0,0034","0,000046",,,
Sequencial,Elephant,Com,1,64,10,"0,0058","0,00029",,,
Sequencial,Elephant,Com,1,128,10,"0,02164","0,0018",,,
Sequencial,Elephant,Com,1,256,10,"0,08632","0,00307",,,
Sequencial,Elephant,Com,1,512,10,"0,307467","0,000336",,,
Sequencial,Elephant,Com,1,1024,10,"1,23489","0,00443",,,
Sequencial,Elephant,Com,1,2048,10,"4,92005","0,00641",,,
Sequencial,Elephant,Com,1,4096,10,"19,6043","0,00573",,,
Sequencial,Elephant,Com,1,8192,10,"78,633","0,157",,,
Sequencial,Full,Com,1,16,10,"0,0011888","0,0000386",,,
Sequencial,Full,Com,1,32,10,"0,0012767","0,000031",,,
Sequencial,Full,Com,1,64,10,"0,0013957","0,0000269",,,
Sequencial,Full,Com,1,128,10,"0,0042281","0,0000832",,,
Sequencial,Full,Com,1,256,10,"0,01903","0,00162",,,
Sequencial,Full,Com,1,512,10,"0,06091","0,00273",,,
Sequencial,Full,Com,1,1024,10,"0,22909","0,00295",,,
Sequencial,Full,Com,1,2048,10,"0,88435","0,00378",,,
Sequencial,Full,Com,1,4096,10,"3,51621","0,00332",,,
Sequencial,Full,Com,1,8192,10,"14,041","0,0219",,,
Sequencial,Seahorse,Com,1,16,10,"0,0009534","0,0000889",,,
Sequencial,Seahorse,Com,1,32,10,"0,002176","0,000196",,,
Sequencial,Seahorse,Com,1,64,10,"0,006707","0,000352",,,
Sequencial,Seahorse,Com,1,128,10,"0,03243","0,00199",,,
Sequencial,Seahorse,Com,1,256,10,"0,08677","0,00306",,,
Sequencial,Seahorse,Com,1,512,10,"0,34071","0,0026",,,
Sequencial,Seahorse,Com,1,1024,10,"1,30425","0,0027",,,
Sequencial,Seahorse,Com,1,2048,10,"5,19606","0,00153",,,
Sequencial,Seahorse,Com,1,4096,10,"20,8003","0,0119",,,
Sequencial,Seahorse,Com,1,8192,10,"83,323","0,102",,,
Sequencial,Triple Spiral,Com,1,16,10,"0,0009331","0,0000262",,,
Sequencial,Triple Spiral,Com,1,32,10,"0,0020954","0,0000431",,,
Sequencial,Triple Spiral,Com,1,64,10,"0,006734","0,000245",,,
Sequencial,Triple Spiral,Com,1,128,10,"0,024574","0,000629",,,
Sequencial,Triple Spiral,Com,1,256,10,"0,09435","0,00146",,,
Sequencial,Triple Spiral,Com,1,512,10,"0,38461","0,00281",,,
Sequencial,Triple Spiral,Com,1,1024,10,"1,483","0,0045",,,
Sequencial,Triple Spiral,Com,1,2048,10,"5,88627","0,00278",,,
Sequencial,Triple Spiral,Com,1,4096,10,"23,50768","0,00556",,,
